Flags Found:  0 | Visited:     1 | To Visit:     1 | Runtime: 0m 0s 927ms
Flags Found:  3 | Visited:  1382 | To Visit:  2302 | Runtime: 1m 16s 950ms
Flags Found:  3 | Visited:  1392 | To Visit:  2297 | Runtime: 1m 17s 450ms
Flags Found:  3 | Visited:  1402 | To Visit:  2299 | Runtime: 1m 17s 969ms
Flags Found:  3 | Visited:  1412 | To Visit:  2297 | Runtime: 1m 18s 493ms
Flags Found:  3 | Visited:  1422 | To Visit:  2297 | Runtime: 1m 19s 22ms
Flags Found:  3 | Visited:  1432 | To Visit:  2296 | Runtime: 1m 19s 494ms
Flags Found:  3 | Visited:  1442 | To Visit:  2294 | Runtime: 1m 20s 6ms
Flags Found:  3 | Visited:  1452 | To Visit:  2297 | Runtime: 1m 20s 509ms
Flags Found:  3 | Visited:  1462 | To Visit:  2298 | Runtime: 1m 21s 131ms
Flags Found:  3 | Visited:  1472 | To Visit:  2301 | Runtime: 1m 21s 645ms
Flags Found:  3 | Visited:  1482 | To Visit:  2296 | Runtime: 1m 22s 158ms
Flags Found:  3 | Visited:  1492 | To Visit:  2296 | Runtime: 1m 22s 670ms
Flags Found:  3 | Visited:  1502 | To Visit:  2297 | Runtime: 1m 23s 206ms
Flags Found:  3 | Visited:  1512 | To Visit:  2298 | Runtime: 1m 23s 725ms
Flags Found:  3 | Visited:  1522 | To Visit:  2299 | Runtime: 1m 24s 231ms
Flags Found:  3 | Visited:  1532 | To Visit:  2300 | Runtime: 1m 24s 751ms
Flags Found:  3 | Visited:  1542 | To Visit:  2296 | Runtime: 1m 25s 279ms
Flags Found:  3 | Visited:  1552 | To Visit:  2294 | Runtime: 1m 25s 787ms
Flags Found:  3 | Visited:  1562 | To Visit:  2293 | Runtime: 1m 26s 292ms
Flags Found:  3 | Visited:  1572 | To Visit:  2292 | Runtime: 1m 26s 799ms
Flags Found:  3 | Visited:  1582 | To Visit:  2294 | Runtime: 1m 27s 411ms
Flags Found:  3 | Visited:  1592 | To Visit:  2291 | Runtime: 1m 27s 994ms
Flags Found:  3 | Visited:  1602 | To Visit:  2290 | Runtime: 1m 28s 506ms
Flags Found:  3 | Visited:  1612 | To Visit:  2292 | Runtime: 1m 29s 21ms
Flags Found:  3 | Visited:  1622 | To Visit:  2292 | Runtime: 1m 29s 630ms
Flags Found:  3 | Visited:  1632 | To Visit:  2296 | Runtime: 1m 30s 189ms
Flags Found:  3 | Visited:  1642 | To Visit:  2289 | Runtime: 1m 30s 732ms
Flags Found:  3 | Visited:  1652 | To Visit:  2286 | Runtime: 1m 31s 221ms
Flags Found:  3 | Visited:  1662 | To Visit:  2286 | Runtime: 1m 31s 701ms
Flags Found:  3 | Visited:  1672 | To Visit:  2286 | Runtime: 1m 32s 217ms
Flags Found:  3 | Visited:  1682 | To Visit:  2283 | Runtime: 1m 32s 748ms
Flags Found:  3 | Visited:  1692 | To Visit:  2282 | Runtime: 1m 33s 296ms
Flags Found:  3 | Visited:  1702 | To Visit:  2279 | Runtime: 1m 33s 830ms
Flags Found:  3 | Visited:  1712 | To Visit:  2281 | Runtime: 1m 34s 345ms
Flags Found:  3 | Visited:  1722 | To Visit:  2278 | Runtime: 1m 34s 875ms
Flags Found:  3 | Visited:  1732 | To Visit:  2275 | Runtime: 1m 35s 387ms
Flags Found:  3 | Visited:  1742 | To Visit:  2272 | Runtime: 1m 35s 874ms
